prompt,observation.state,action,timestamp,index,episode_index,frame_index,task_index,observation.image.top_rgb,observation.image.right_rgb,observation.image.left_rgb
fold the garment on the table,"[-0.16435305774211884, -1.708461046218872, 1.5269076824188232, 1.1626840829849243, -0.12112125009298325, -0.1376548558473587, 0.18391898274421692, -1.7031521797180176, 1.5251026153564453, 1.177022933959961, 0.08907711505889893, -0.1425497978925705]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.3333333432674408,67969,200,10,0,./sample_episode_images/episode_200/top/frame_008239.jpg,./sample_episode_images/episode_200/right/frame_000010.jpg,./sample_episode_images/episode_200/left/frame_008239.jpg
fold the garment on the table,"[-0.10787602514028549, -1.708756446838379, 1.5268994569778442, 1.1643036603927612, -0.12159920483827591, -0.1390470713376999, 0.1353396773338318, -1.7032041549682617, 1.5251951217651367, 1.178939938545227, 0.09101630002260208, -0.144003763794899]","[0.0165195781737566, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.13841813802719116, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.36666667461395264,67970,200,11,0,./sample_episode_images/episode_200/top/frame_008240.jpg,./sample_episode_images/episode_200/right/frame_000011.jpg,./sample_episode_images/episode_200/left/frame_008240.jpg
fold the garment on the table,"[-0.06901330500841141, -1.7088937759399414, 1.527036428451538, 1.1657482385635376, -0.12190312147140503, -0.13885511457920074, 0.10191845893859863, -1.703176498413086, 1.52538001537323, 1.1804853677749634, 0.09237704426050186, -0.14506185054779053]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.13841813802719116, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.4000000059604645,67971,200,12,0,./sample_episode_images/episode_200/top/frame_008241.jpg,./sample_episode_images/episode_200/right/frame_000012.jpg,./sample_episode_images/episode_200/left/frame_008241.jpg
fold the garment on the table,"[-0.04199335724115372, -1.7089378833770752, 1.5272608995437622, 1.166931390762329, -0.12209127843379974, -0.13872326910495758, 0.07893050462007523, -1.7031139135360718, 1.5255955457687378, 1.1816750764846802, 0.0933322012424469, -0.14582975208759308]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.13841813802719116, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.4333333373069763,67972,200,13,0,./sample_episode_images/episode_200/top/frame_008242.jpg,./sample_episode_images/episode_200/right/frame_000013.jpg,./sample_episode_images/episode_200/left/frame_008242.jpg
fold the garment on the table,"[-0.023284142836928368, -1.7089338302612305, 1.5275017023086548, 1.1678569316864014, -0.12220998108386993, -0.13863271474838257, 0.06311632692813873, -1.7030481100082397, 1.5257893800735474, 1.1825631856918335, 0.09400302916765213, -0.14638592302799225]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12235857546329498, -0.14275191724300385, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.46666666865348816,67973,200,14,0,./sample_episode_images/episode_200/top/frame_008243.jpg,./sample_episode_images/episode_200/right/frame_000014.jpg,./sample_episode_images/episode_200/left/frame_008243.jpg
fold the garment on the table,"[-0.010409010574221611, -1.7089192867279053, 1.527707815170288, 1.1685551404953003, -0.12228190898895264, -0.13978007435798645, 0.05223539471626282, -1.7029964923858643, 1.5259355306625366, 1.1832104921340942, 0.09447439014911652, -0.14678800106048584]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.12091054767370224, -0.1441964954137802, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.5,67974,200,15,0,./sample_episode_images/episode_200/top/frame_008244.jpg,./sample_episode_images/episode_200/right/frame_000015.jpg,./sample_episode_images/episode_200/left/frame_008244.jpg
fold the garment on the table,"[-0.0015524857444688678, -1.7089030742645264, 1.5278655290603638, 1.1690784692764282, -0.12192081660032272, -0.14101359248161316, 0.044747672975063324, -1.7029629945755005, 1.5260289907455444, 1.1836732625961304, 0.0948057770729065, -0.1470782607793808]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11801448464393616, -0.1441964954137802, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.5333333611488342,67975,200,16,0,./sample_episode_images/episode_200/top/frame_008245.jpg,./sample_episode_images/episode_200/right/frame_000016.jpg,./sample_episode_images/episode_200/left/frame_008245.jpg
fold the garment on the table,"[0.004540212452411652, -1.7088922262191772, 1.5279744863510132, 1.169461727142334, -0.12084533274173737, -0.14190350472927094, 0.039594411849975586, -1.7029459476470947, 1.5260778665542603, 1.1839991807937622, 0.09503886103630066, -0.14728757739067078]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11656645685434341, -0.1441964954137802, 0.028212523087859154, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.5666666626930237,67976,200,17,0,./sample_episode_images/episode_200/top/frame_008246.jpg,./sample_episode_images/episode_200/right/frame_000017.jpg,./sample_episode_images/episode_200/left/frame_008246.jpg
fold the garment on the table,"[0.008727299980819225, -1.7088899612426758, 1.5280400514602661, 1.1697368621826172, -0.1196589544415474, -0.14254479110240936, 0.03604749217629433, -1.7029412984848022, 1.5260943174362183, 1.1842262744903564, 0.09520288556814194, -0.1474384367465973]","[0.017956063151359558, -1.7089682817459106, 1.52506685256958, 1.176134467124939, -0.11656645685434341, -0.1441964954137802, 0.031033774837851524, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.6000000238418579,67977,200,18,0,./sample_episode_images/episode_200/top/frame_008247.jpg,./sample_episode_images/episode_200/right/frame_000018.jpg,./sample_episode_images/episode_200/left/frame_008247.jpg
fold the garment on the table,"[0.011609910055994987, -1.7088677883148193, 1.5274807214736938, 1.171496033668518, -0.11879957467317581, -0.1430036723613739, 0.03420538455247879, -1.7029447555541992, 1.5260905027389526, 1.1843857765197754, 0.09532273560762405, -0.14754675328731537]","[0.017956063151359558, -1.7089682817459106, 1.5235916376113892, 1.176134467124939, -0.11511842161417007, -0.1441964954137802, 0.033855028450489044, -1.7029917240142822, 1.5259838104248047, 1.184740424156189, 0.09559479355812073, -0.14782695472240448]",0.6333333253860474,67978,200,19,0,./sample_episode_images/episode_200/top/frame_008248.jpg,./sample_episode_images/episode_200/right/frame_000019.jpg,./sample_episode_images/episode_200/left/frame_008248.jpg
fold the garment on the table,"[0.013589630834758282, -1.7087839841842651, 1.526668667793274, 1.1728956699371338, -0.11777561157941818, -0.143341064453125, 0.03379535302519798, -1.702952265739441, 1.5260766744613647, 1.1844955682754517, 0.09540609270334244, -0.14762486517429352]","[0.017956063151359558, -1.7089682817459106, 1.5235916376113892, 1.176134467124939, -0.11511842161417007, -0.1441964954137802, 0.02962314896285534, -1.704451560974121, 1.5259838104248047, 1.183306097984314, 0.09994001686573029, -0.14782695472240448]",0.6666666865348816,67979,200,20,0,./sample_episode_images/episode_200/top/frame_008249.jpg,./sample_episode_images/episode_200/right/frame_000020.jpg,./sample_episode_images/episode_200/left/frame_008249.jpg
fold the garment on the table,"[0.014948499388992786, -1.7087982892990112, 1.5258371829986572, 1.173838496208191, -0.11703475564718246, -0.14358198642730713, 0.03289836272597313, -1.7032614946365356, 1.526165246963501, 1.1842234134674072, 0.09666378796100616, -0.14768482744693756]","[0.017956063151359558, -1.7089682817459106, 1.5265419483184814, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.05501442030072212, -1.704451560974121, 1.5334525108337402, 1.1359738111495972, 0.17670553922653198, -0.14782695472240448]",0.699999988079071,67980,200,21,0,./sample_episode_images/episode_200/top/frame_008250.jpg,./sample_episode_images/episode_200/right/frame_000021.jpg,./sample_episode_images/episode_200/left/frame_008250.jpg
fold the garment on the table,"[0.01587883196771145, -1.7088875770568848, 1.525722622871399, 1.172916054725647, -0.11650045216083527, -0.1437571942806244, 0.03738383948802948, -1.7030788660049438, 1.5287960767745972, 1.1716727018356323, 0.11901399493217468, -0.14776529371738434]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.08463756740093231, -1.7015317678451538, 1.5439088344573975, 1.0728641748428345, 0.4142441153526306, -0.1493106186389923]",0.7333333492279053,67981,200,22,0,./sample_episode_images/episode_200/top/frame_008251.jpg,./sample_episode_images/episode_200/right/frame_000022.jpg,./sample_episode_images/episode_200/left/frame_008251.jpg
fold the garment on the table,"[0.016526203602552414, -1.709044337272644, 1.5260040760040283, 1.1721006631851196, -0.11611469089984894, -0.14387597143650055, 0.049267467111349106, -1.7021331787109375, 1.5338505506515503, 1.1450042724609375, 0.20139865577220917, -0.14823776483535767]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.10720758885145187, -1.7000718116760254, 1.5379338264465332, 1.059955358505249, 0.502596914768219, -0.14782695472240448]",0.7666666507720947,67982,200,23,0,./sample_episode_images/episode_200/top/frame_008252.jpg,./sample_episode_images/episode_200/right/frame_000023.jpg,./sample_episode_images/episode_200/left/frame_008252.jpg
fold the garment on the table,"[0.016972484067082405, -1.7090883255004883, 1.5264480113983154, 1.171573519706726, -0.11583662033081055, -0.14396347105503082, 0.06478989869356155, -1.7012012004852295, 1.536543607711792, 1.1212512254714966, 0.2856396734714508, -0.14811338484287262]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.1622220128774643, -1.697152018547058, 1.5289713144302368, 1.0699955224990845, 0.5431522727012634, -0.10034968703985214]",0.800000011920929,67983,200,24,0,./sample_episode_images/episode_200/top/frame_008253.jpg,./sample_episode_images/episode_200/right/frame_000024.jpg,./sample_episode_images/episode_200/left/frame_008253.jpg
fold the garment on the table,"[0.017279423773288727, -1.7090656757354736, 1.526888370513916, 1.1712324619293213, -0.1156361848115921, -0.1440279483795166, 0.0892639234662056, -1.7000230550765991, 1.535431981086731, 1.1066147089004517, 0.3577539622783661, -0.1347368061542511]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.2581445872783661, -1.663573980331421, 1.5289713144302368, 1.0972474813461304, 0.6677151918411255, 0.04653312265872955]",0.8333333134651184,67984,200,25,0,./sample_episode_images/episode_200/top/frame_008254.jpg,./sample_episode_images/episode_200/right/frame_000025.jpg,./sample_episode_images/episode_200/left/frame_008254.jpg
fold the garment on the table,"[0.017490487545728683, -1.709024429321289, 1.5272581577301025, 1.1710047721862793, -0.11549168825149536, -0.14407508075237274, 0.13171930611133575, -1.6922523975372314, 1.530979037284851, 1.1025761365890503, 0.44447481632232666, -0.08400188386440277]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.36676278710365295, -1.594957947731018, 1.5274776220321655, 1.1130248308181763, 0.7980717420578003, 0.17857928574085236]",0.8666666746139526,67985,200,26,0,./sample_episode_images/episode_200/top/frame_008255.jpg,./sample_episode_images/episode_200/right/frame_000026.jpg,./sample_episode_images/episode_200/left/frame_008255.jpg
fold the garment on the table,"[0.017635652795433998, -1.7089864015579224, 1.5275378227233887, 1.170846939086914, -0.11538752168416977, -0.1441093385219574, 0.1931917518377304, -1.6693605184555054, 1.5250886678695679, 1.10349440574646, 0.5432246327400208, -0.010489881038665771]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.1441964954137802, 0.4640960097312927, -1.5117427110671997, 1.5215026140213013, 1.1144591569900513, 0.9269798398017883, 0.24237686395645142]",0.8999999761581421,67986,200,27,0,./sample_episode_images/episode_200/top/frame_008256.jpg,./sample_episode_images/episode_200/right/frame_000027.jpg,./sample_episode_images/episode_200/left/frame_008256.jpg
fold the garment on the table,"[0.017735518515110016, -1.708959937095642, 1.5277332067489624, 1.1707334518432617, -0.11531241238117218, -0.144134059548378, 0.26698997616767883, -1.6294740438461304, 1.5192097425460815, 1.1045870780944824, 0.6483303904533386, 0.06031575798988342]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.14130732417106628, 0.5388591885566711, -1.4212279319763184, 1.5050712823867798, 1.1130248308181763, 1.038507103919983, 0.2883704602718353]",0.9333333373069763,67987,200,28,0,./sample_episode_images/episode_200/top/frame_008257.jpg,./sample_episode_images/episode_200/right/frame_000028.jpg,./sample_episode_images/episode_200/left/frame_008257.jpg
fold the garment on the table,"[0.01780378818511963, -1.7089425325393677, 1.52786386013031, 1.170653223991394, -0.11525832861661911, -0.1433451622724533, 0.3436446785926819, -1.5742952823638916, 1.512359380722046, 1.1054270267486572, 0.7545027136802673, 0.12413933873176575]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.14275191724300385, 0.5713036060333252, -1.3394726514816284, 1.4766900539398193, 1.1115905046463013, 1.0747172832489014, 0.3328804075717926]",0.9666666388511658,67988,200,29,0,./sample_episode_images/episode_200/top/frame_008258.jpg,./sample_episode_images/episode_200/right/frame_000029.jpg,./sample_episode_images/episode_200/left/frame_008258.jpg
fold the garment on the table,"[0.0178515687584877, -1.7089390754699707, 1.527939796447754, 1.1705857515335083, -0.11521922051906586, -0.14317859709262848, 0.4110448956489563, -1.5094327926635742, 1.5028101205825806, 1.1066263914108276, 0.8440343737602234, 0.1824759840965271]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1703972816467285, -0.11511842161417007, -0.14275191724300385, 0.5586079359054565, -1.2620971202850342, 1.4498025178909302, 1.1115905046463013, 1.0747172832489014, 0.3922269940376282]",1.0,67989,200,30,0,./sample_episode_images/episode_200/top/frame_008259.jpg,./sample_episode_images/episode_200/right/frame_000030.jpg,./sample_episode_images/episode_200/left/frame_008259.jpg
fold the garment on the table,"[0.017884185537695885, -1.7089405059814453, 1.5279814004898071, 1.170536756515503, -0.11519106477499008, -0.14305934309959412, 0.45833176374435425, -1.4398678541183472, 1.4896901845932007, 1.1080964803695679, 0.9084950685501099, 0.24102835357189178]","[0.017956063151359558, -1.7089682817459106, 1.5280171632766724, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.5064147710800171, -1.1861815452575684, 1.4333713054656982, 1.1101561784744263, 1.0718204975128174, 0.44267159700393677]",1.0333333015441895,67990,200,31,0,./sample_episode_images/episode_200/top/frame_008260.jpg,./sample_episode_images/episode_200/right/frame_000031.jpg,./sample_episode_images/episode_200/left/frame_008260.jpg
fold the garment on the table,"[0.017905261367559433, -1.708918809890747, 1.5280531644821167, 1.170134425163269, -0.11517085880041122, -0.14297495782375336, 0.4787795841693878, -1.368540644645691, 1.4744558334350586, 1.1087396144866943, 0.9540625214576721, 0.2973025143146515]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.47114911675453186, -1.1234050989151, 1.4124587774276733, 1.0915101766586304, 1.0674751996994019, 0.44267159700393677]",1.0666667222976685,67991,200,32,0,./sample_episode_images/episode_200/top/frame_008261.jpg,./sample_episode_images/episode_200/right/frame_000032.jpg,./sample_episode_images/episode_200/left/frame_008261.jpg
fold the garment on the table,"[0.01792140118777752, -1.7089916467666626, 1.528259038925171, 1.1697534322738647, -0.11515610665082932, -0.14291074872016907, 0.48020508885383606, -1.2985739707946777, 1.458863615989685, 1.1047042608261108, 0.9857572317123413, 0.3378917872905731]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.44293659925460815, -1.0679283142089844, 1.3960275650024414, 1.0398750305175781, 1.0182294845581055, 0.44267159700393677]",1.100000023841858,67992,200,33,0,./sample_episode_images/episode_200/top/frame_008262.jpg,./sample_episode_images/episode_200/right/frame_000033.jpg,./sample_episode_images/episode_200/left/frame_008262.jpg
fold the garment on the table,"[0.01793273538351059, -1.7090163230895996, 1.5285521745681763, 1.169508934020996, -0.11514553427696228, -0.1428653448820114, 0.47135722637176514, -1.2319109439849854, 1.444192886352539, 1.0881662368774414, 0.9949299693107605, 0.36713558435440063]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.40343907475471497, -1.0095317363739014, 1.3781025409698486, 1.0054515600204468, 0.986364483833313, 0.44267159700393677]",1.1333333253860474,67993,200,34,0,./sample_episode_images/episode_200/top/frame_008263.jpg,./sample_episode_images/episode_200/right/frame_000034.jpg,./sample_episode_images/episode_200/left/frame_008263.jpg
fold the garment on the table,"[0.01794031821191311, -1.7090040445327759, 1.52882981300354, 1.1693538427352905, -0.11513794958591461, -0.142833411693573, 0.45414865016937256, -1.1681395769119263, 1.4279975891113281, 1.0659793615341187, 0.9925580024719238, 0.388214111328125]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.3639415502548218, -0.9584347009658813, 1.3571900129318237, 0.9925428032875061, 0.955947995185852, 0.44267159700393677]",1.1666666269302368,67994,200,35,0,./sample_episode_images/episode_200/top/frame_008264.jpg,./sample_episode_images/episode_200/right/frame_000035.jpg,./sample_episode_images/episode_200/left/frame_008264.jpg
fold the garment on the table,"[0.017945386469364166, -1.7089815139770508, 1.529056191444397, 1.1692513227462769, -0.11513250321149826, -0.14281074702739716, 0.4302416741847992, -1.1081407070159912, 1.4095232486724854, 1.0457733869552612, 0.9823242425918579, 0.4034181833267212]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.32726526260375977, -0.9117173552513123, 1.3407588005065918, 0.9552506804466248, 0.9168410301208496, 0.44267159700393677]",1.2000000476837158,67995,200,36,0,./sample_episode_images/episode_200/top/frame_008265.jpg,./sample_episode_images/episode_200/right/frame_000036.jpg,./sample_episode_images/episode_200/left/frame_008265.jpg
fold the garment on the table,"[0.01794879510998726, -1.7089625597000122, 1.5292233228683472, 1.1691800355911255, -0.11512859165668488, -0.14279454946517944, 0.4021342098712921, -1.0519455671310425, 1.3913086652755737, 1.0210797786712646, 0.9640457034111023, 0.4143710434436798]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.29199960827827454, -0.8606203198432922, 1.3213400840759277, 0.9179586172103882, 0.8820792436599731, 0.44267159700393677]",1.2333333492279053,67996,200,37,0,./sample_episode_images/episode_200/top/frame_008266.jpg,./sample_episode_images/episode_200/right/frame_000037.jpg,./sample_episode_images/episode_200/left/frame_008266.jpg
fold the garment on the table,"[0.017951102927327156, -1.7089502811431885, 1.5293375253677368, 1.1691278219223022, -0.11512576788663864, -0.14278288185596466, 0.37175747752189636, -0.9976314306259155, 1.372636318206787, 0.9927042126655579, 0.9411458969116211, 0.422268271446228]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.25955522060394287, -0.8153629302978516, 1.3004275560379028, 0.8964439630508423, 0.8560079336166382, 0.44267159700393677]",1.2666666507720947,67997,200,38,0,./sample_episode_images/episode_200/top/frame_008267.jpg,./sample_episode_images/episode_200/right/frame_000038.jpg,./sample_episode_images/episode_200/left/frame_008267.jpg
fold the garment on the table,"[0.01795267127454281, -1.7089447975158691, 1.5294101238250732, 1.1690882444381714, -0.11512372642755508, -0.14277443289756775, 0.34058529138565063, -0.9458537697792053, 1.3527770042419434, 0.9658313393592834, 0.9173387885093689, 0.42796850204467773]","[0.017956063151359558, -1.7089682817459106, 1.5294922590255737, 1.1689629554748535, -0.11511842161417007, -0.14275191724300385, 0.22570018470287323, -0.7657257914543152, 1.279515027999878, 0.8677577972412109, 0.8226945996284485, 0.44267159700393677]",1.2999999523162842,67998,200,39,0,./sample_episode_images/episode_200/top/frame_008268.jpg,./sample_episode_images/episode_200/right/frame_000039.jpg,./sample_episode_images/episode_200/left/frame_008268.jpg
